NeedID	ReqID	ReqTitle	ReqText	JustForReq	SourceJust	VerMethod
101.1	101.1.2	Speed Compliance	The SPDCOMP application shall obtain regulatory speed limits from the MAP message per SAE J2735-201603 based on the host vehicle’s current location.	Need ID 101.1: Need to manage speed on surface streets – 25 MPH regulatory speed limit	NYC CVPD ConOps	Test
101.1	101.1.4	Speed Compliance	"The SPDCOMP application shall trigger an alert when either the vehicle speed exceeds the recommended speed by a configured amount or for a configured period of time by time of day. (Note: configurable speed (Excessive Speed A mount Threshold), configurable time (Excessive Speed Time) are defined in Table E -1 and time of day is defined in Table D-1)"	Need ID 101.1: Need to manage speed on surface streets – 25 MPH regulatory speed limit	NYC CVPD ConOps	Test
101.2	101.2.10	Curve Speed Compliance	The CSPD-COMP application shall determine if there is a curve with reduced speed ahead.	Need ID 101.2: Need to manage speeds on curves – regulatory speed limit	CVRIA Curve Speed Warning	Test
101.2	101.2.11	Curve Speed Compliance	The CSPD-COMP application shall advise the driver of a curve with reduced speed ahead.	Need ID 101.2: Need to manage speeds on curves – regulatory speed limit	CVRIA Curve Speed Warning; MUTCD Table 2C-4	Test
101.2	101.2.14	Curve Speed Compliance	The CSPD -COMP application shall determine the difference between the posted speed on the upcoming curve and the vehicle's current speed.	Need ID 101.2: Need to manage speeds on curves – regulatory speed limit	CVRIA Curve Speed Warning	Demo
101.2	101.2.15	Curve Speed Compliance	"If the vehicle speed is greater than the posted curve speed, the Vehicle CSPD -COMP Application shall advise the driver in time for the driver to reduce vehicle speed to the posted speed limit before the vehicle enters the curve."	Need ID 101.2: Need to manage speeds on curves –regulatory speed limit	Revised; FHWA -JPO-13-059 (Battelle) [SYS- REQ -342]	Demo
101.2	101.2.16	Curve Speed compliance	"While the vehicle is in the curve, the CSPD-COMP application shall trigger a driver alert when the host vehicle speed exceeds the posted speed plus the Excessive Curve Speed Amount Threshold for a time period exceeding the Excessive Curve Speed Time Threshold."	Need ID 101.2: Need to manage speeds on curves–regulatory speed limit	Revised from CVRIA Curve Speed Warning	Test
101.3	101.3.9	Speed Compliance / Work Zone	The SPDCOMPWZ application shall acquire the following from Speed Zone information for use in SPDCOMPWZ advisory and alert calculations: 1. Posted Reduced Speed Zone Speed Limit 2. Work Zone geometric information	Need ID 101.3: Need to manage speed in work zones –speed limit	Revised; FHWA -JPO-13-061 (Battelle) [SYS- REQ -625]	Test
101.3	101.3.10	Speed Compliance / Work Zone	The SPDCOMPWZ application shall determine if there is a reduced speed zone ahead.	Need ID 101.3: Need to manage speed in work zones –speed limit		Demo
101.3	101.3.11	Speed Compliance / Work Zone	The SPDCOMPWZ application shall advise the driver of a reduced speed zone ahead.	Need ID 101.3: Need to manage speed in work zones –speed limit		Demo
