SecID	ReqID	NeedID	ReqText	NeedText
3.1.1.1.1	203.7.1	203	The RSU shall provide evidence of tampering (e.g. opening of the case) through tamper -evident seals on media ports (e.g. USB) and screw holes.	Need to manage CV equipment maintenance
3.1.1.1.2	203.7.2	203	The ASD shall provide evidence to detect tampering (e.g. opening of the case) through tamper-evident seals on all media ports and screw holes.	Need to manage CV equipment maintenance
3.1.1.1.3	203.22.1	203	Connected Vehicle equipment mounted externally to the vehicle shall be contained within the envelope defined by the ASD vendor specification.	Need to manage CV equipment maintenance
3.1.1.1.4	203.7.3	203	The RSU size dimensions shall not exceed 13” h x 13” w x 4” d exclusive of mounting hardware.	Need to manage CV equipment maintenance
3.1.1.2.1	203.4.1	203	The ASD shall operate on the voltage supplied by the host vehicle.	Need to manage CV equipment maintenance
3.1.1.2.2	203.16.1	203	The current drawn by the ASD shall not exceed with the maximum allowable amperage specified by the ASD vendor.	Need to manage CV equipment maintenance
3.1.1.2.3	203.16.2	203	"The RSU shall not overload the power supplies provided by the RSU vendor based on maximum allowable power consumption. (During operation, turn off, turn on, etc. per NEMA TS2 environmental testing.)"	Need to manage CV equipment maintenance
3.1.1.2.4	203.17.2	203	All connections to the RSU shall be protected from lightening and power surges on the Ethernet.	Need to manage CV equipment maintenance
3.1.1.2.5	203.18.1	203	The ASDs shall withstand electromagnetic interference (EMI) from external sources and electrical distribution.	Need to manage CV equipment maintenance
3.1.1.2.6	203.18.2	203	The ASD shall withstand electrostatic discharge (ESD) from extern al sources and electrical distribution.	Need to manage CV equipment maintenance
3.1.1.2.7	203.18.3	203	The RSU shall withstand electrostatic discharge (ESD) from external sources and electrical distribution. (Provide ESD definitions/specifications.)	Need to manage CV equipment maintenance
3.1.1.2.8	203.19.1	203	The ASD design shall prevent battery drain.	Need to manage CV equipment maintenance
3.1.1.2.9	402.2.2	402	The RSU shall be able to resume normal function within 2 minutes of restoration of power.	Need to manage equipment health
3.1.2.1.1	203.31.1	203	Back office servers shall have their power source augmented by an Uninterruptable Power Supply (UPS).	Need to manage CV equipment maintenance
3.1.2.2.1	203.1.1	203	"The NYC CVPD maintenance personnel shall replace the ASD damaged by improper maintenance, tampering, or mishap."	Need to manage CV equipment maintenance
3.1.2.2.2	203.1.2	203	"The NYC CVPD maintenance personnel shall replace the RSU damaged by improper maintenance, tampering, or mishap."	Need to manage CV equipment maintenance
3.1.2.2.3	203.2.1	203	The NYC CVPD maintenance personnel shall be able to reboot the ASD after a disruptive software glitch.	Need to manage CV equipment maintenance
3.1.2.2.4	203.2.2	203	The NY C CVPD maintenance personnel shall be able to reboot the RSU after a disruptive software glitch.	Need to manage CV equipment maintenance
3.1.3.1	202.2.1	202	The NYC CVPD applications shall have modifiable algorithms and software parameters for tuning the system’s operation.	Need to manage CV application for the traffic environment
3.1.3.2	202.3.1	202	The ASD shall have upgradable hardware components for improving the device performance upon expansion of the NYC CVPD system.	Need to manage CV application for the traffic environment
3.1.3.3	202.3.2	202	The RSU shall have upgradable hardware components for improving the device performance upon expansion of the NYC CVPD system.	Need to manage CV application for the traffic environment
3.1.4.1	204.3.1	204	The audible message volume in the ASD shall be distinguishable from other sounds.	Need to limit additional vehicle cab devices that have the potential to distract drivers
3.1.4.2	204.3.2	204	The audible message volume in the ASD shall be developed and tested in a real traffic environment.	Need to limit additional vehicle cab devices that have the potential to distract drivers
3.1.4.3	203.17.1	203	"The RSU shall be designed to operate properly in the outdoor environment. (e.g. temperature, humidity, rain, fog, sun, snow, shock, vibration, etc.) {Ref augmented NEMA TS2 -20XX}"	Need to manage CV equipment maintenance
3.2.0.1	110.2.3	110	All NYC CVPD ASDs shall utilize the same GPS time source and common accuracy configuration as the NYC CVPD Infrastructure.	
3.2.0.2	201.5.1	201	The ASD shall provide the alerts to the driver without ambiguity.	Need to have privacy
3.2.0.3	202.7.1	202	The ASD shall process all radio messages at a minimum rate of 10 Hz.	Need to manage CV application for the traffic environment
3.2.1.1	110.2.2	110	The ASD shall broadcast the BSM of host vehicles per SAE standards J2945/1 and J2735.	
3.2.1.3	202.4.2	202	"The Vehicle Performance Monitoring application shall collect/log vehicle operational data (e.g. hard break, steering turns, accelerations based on accelerometers)."	Need to manage CV application for the traffic environment
3.2.1.4	202.4.3	202	The fleet manager shall be able to solicit and collect feedback from the anonymous vehicle operators on the operation of the system.	Need to manage CV application for the traffic environment
3.2.1.5	202.8.1	202	"The ASD shall monitor the delivery of the audio alert and any audio instructions to the driver. By way of example, a microphone located at or near the speaker can verify that the specific audio word(s) or tone was presented to the driver; contrarily, simply measuring the voltage output sent to the speaker is not sufficient since the speaker could be damaged or sabotaged."	Need to manage CV application for the traffic environment
3.2.1.6	202.9.1	202	The ASD shall include an accelerometer for each of the three axes.	Need to manage CV application for the traffic environment
3.2.1.7	203.26.1	203	"The ASD shall be able to process (and authenticate and/or encrypt) the DSRC messages at a minimum rate of 10 Hz. This includes all messages on all channels: BSM, TIM, MAP, SPaT, etc. in addition to IP communications traffic for management applications."	Need to manage CV equipment maintenance
3.2.1.8	204.5.1	204	The Host Vehicle ASD shall begin aural alerts within 250 milliseconds of being triggered by the application.	Need to limit additional vehicle cab devices that have the potential to distract drivers
3.2.1.9	401.1.2	401	The ASD shall have sufficient computing power to authenticate messages on the Safety Applications defined in Table C-1 in time for the individual Safety Applications to meet their individual performance requirements.	Need to have trusted communications
3.2.1.10	401.12.1	401	"The RSU shall interface with signal controllers, NYCWiN, and DSRC messages from vehicles and pedestrians. (Note: this will be expanded into multiple requirements for each interface.)"	Need to have trusted communications
3.2.2.1	510.2.1	510	"The NYC CVPD performance monitoring subsystem shall normalize, obfuscate, aggregate, and analyze the performance measurement data specified in the Task 5 Performance Measurement Plan."	Need to assess all CV applications
3.2.2.2	510.5.2	510	The NYC CVPD performance monitoring subsystem shall utilize the post -processed data and transmit it to the RDE.	Need to assess all CV applications
3.2.2.3	510.6.1	510	The NYC CVPD performance monitoring subsystem shall collect and post -process the volume counts from temporary automatic traffic recording (ATR) machines .	Need to assess all CV applications
3.2.2.4	510.7.1	510	The NYC CVPD performance monitoring subsystem shall compare and post -process the travel time from MiM RFID tag readers.	Need to assess all CV applications
3.2.2.5	510.7.3	510	The NYC CVPD performance monitoring subsystem shall compare and post -process the travel time from MTA bus GPS datasets.	Need to assess all CV applications
3.2.2.6	510.8.1	510	"The NYC CVPD performance monitoring subsystem shall generate system performance reports on the number of active, inactive, and offline ASDs and RSUs in the field by time of day."	Need to assess all CV applications
3.2.2.7	510.8.2	510	The NYC CVPD performance monitoring subsystem shall generate system performance reports on the number of CV applications in operation and warnings produced by time of day.	Need to assess all CV applications
3.2.2.8	510.8.3	510	The NYC CVPD performance monitoring subsystem shall generate system performance reports on the network -wide system safety and mobility measurements. (Note: the reports shall include the crash frequencies and average speeds by peak period.)	Need to assess all CV applications
3.2.2.9	510.9.1	510	The NYC CVPD performance monitoring subsystem shall provide obfuscated datasets without PII to the USDOT Independent Evaluator for additional evaluation.	Need to assess all CV applications
3.2.2.10	510.10.2	510	The ASD shall have the capability of operating in active mode and recording normal driver behaviors and reactions while notifying the user of the perceived warnings.	Need to assess all CV applications
3.2.3.1	501.2.1	501	The ASD shall include a general purpose event recording application.	Need to collect detailed information when a warning is issued
3.2.3.2	501.2.1.1	501	The ASD shall include a rotating 5 minute log of the raw data listed in Table G -4.	Need to collect detailed information when a warning is issued
3.2.3.3	501.2.1.2	501	"Once the log has accumulated 5 minutes of data, it shall replace the oldest data with new data such that it always keeps the most recent 5 minutes of data to a 100 ms accuracy."	Need to collect detailed information when a warning is issued
3.2.3.4	501.2.1.3	501	Each log entry shall include a UTC time stamp accurate to 10 milliseconds.	Need to collect detailed information when a warning is issued
3.2.3.5	501.2.1.4	501	Each log entry shall include the BSM data for the host vehicle regardless of whether the data has changed.	Need to collect detailed information when a warning is issued
3.2.3.6	501.2.1.5	501	"Each log entry shall include the peak accelerometer values since last entry. Clarification: accelerometer entries are added to the log whenever the value changes or at 1 second intervals whichever is shorter but not more rapidly than 10 times per second. Thus, the accelerometer entries show the times at which the value changed with a time stamp but no values are lost to th e resolution of 1 second."	Need to collect detailed information when a warning is issued
3.2.3.7	501.2.1.6	501	Each log entry shall include the BSM data for all vehicles that are within a configurable distance (VDIS) from the host vehicle. (Clarification: typical values are expected to be 0-50 meters.)	Need to collect detailed information when a warning is issued
3.2.3.8	501.2.1.7	501	A log entry shall be made for each SPaT and MAP message received from two nearest RSUs.	Need to collect detailed information when a warning is issued
3.2.3.9	501.2.2	501	The ASD shall continuously monitor the location of the host vehicle as described in SAE J2945/1.	Need to collect detailed information when a warning is issued
3.2.3.10	501.3.1	501	The ASD shall collect log entries into an event record to describe vehicle actions surrounding a CV application event.	Need to collect detailed information when a warning is issued
3.2.3.11	501.3.2	501	The ASD shall log the SAE J2735 BSMs received at 100 millisecond interval before and after an event.	Need to collect detailed information when a warning is issued
3.2.3.12	501.3.3	501	"The ASD shall log the information 5-300 seconds (configurable by type of event, time period, and resolution) before and 20- 50 after the event."	Need to collect detailed information when a warning is issued
3.2.3.13	501.3.4	501	The ASD shall collect less detailed CV probe data for mobility data collection. (See ASD Demonstration Procurement Specification Version 2.2 Appendix L Mobility Data Section B for clarification.)	Need to collect detailed information when a warning is issued
3.2.3.14	501.3.5	501	The durations shall have the capability of being modified by the CV application that triggers the warning.	Need to collect detailed information when a warning is issued
3.2.3.15	501.3.6	501	The safety applications listed in Table C-1 shall implement the most recent event recording parameters supplied externally to the application based on their own recording criteria in Table E -3.	Need to collect detailed information when a warning is issued
3.2.3.16	501.4.1	501	A safety application shall record events based on the most recently received recording parameters set.	Need to collect detailed information when a warning is issued
3.2.3.17	501.4.2	501	An application shall trigger an event recording when an alert is triggered.	Need to collect detailed information when a warning is issued
3.2.3.18	501.4.3	501	The event recording application shall collect pre - and post - trigger information using the host application’s trigger recording times.	Need to collect detailed information when a warning is issued
3.2.3.19	501.4.4	501	The safety applications shall collect trigger information (event recording data) listed in Table G -1.	Need to collect detailed information when a warning is issued
3.2.4.1	502.1.1	502	"When the event recording receives a triggering input, it shall start the creation of an event record."	Need to collect event recordings
3.2.4.2	502.1.2	502	"Each event record shall indicate the application and the reason that the alarm was created; (Clarification: each triggering event (alarm) will notify the ASD logging system to initiate the creation of an event record and will provide some application specific (e.g. application ID, value which caused the trigger) information (up to XX bytes indicating the reason for the event); this data shall be included in the “header” for the event record.)"	Need to collect event recordings
3.2.4.3	502.1.2.1	502	The event record data shall be included in the “header” for the event record.	Need to collect event recordings
3.2.4.4	502.1.4	502	The before and after times shall be configurable for each different application ID. (Note: different applications may request that the pre and post incident collection times be different from the default.)	Need to collect event recordings
3.2.4.5	502.1.5	502	The ASD shall accept downloaded parameters to specify the number of seconds to be included in the event record prior to and after the occurrence of the event for each application ID. (Note that the pre -event and post -event collection times may be different values).	Need to collect event recordings
3.2.4.6	502.1.6	502	"The event recording application shall be able to simultaneously create and collect event records for up to 10 concurrent or staggered events. Clarification: as one event is concluded, it makes space f or additional events."	Need to collect event recordings
3.2.4.7	502.1.7	502	"The ASD shall be able to upload the event records to (through) an RSU when the service is available. (Clarification: this is expected to use IP communications – but is not specified at this time. The RSU’s located in the barn and at choke points are intended to accomplish this upload process, although this could also be added to any or all of the RSU’s.)"	Need to collect event recordings
3.2.4.8	502.1.9	502	"Event records shall be automatically purged whenever the power is applied to the ASD and the time last log entry is more than a configurable number of hours (example: 96 hours). (Clarification: all of the vehicles for the NYC CVPD are fleet vehicles and hence normally return to their “barn” on a daily basis. However, in some cases, if a fleet vehicle is driven “home” and not returned to a location where an RSU can access its logs, the project would like to recover that data when the vehicle returns to the City if possible without compromising privacy.)"	Need to collect event recordings
3.2.4.9	502.1.10	502	Log entries shall be inserted in the event log whenever the vehicle engine is running.	Need to collect event recordings
3.2.4.10	510.1.1	510	The NYC CVPD performance monitoring subsystem shall count the number of events after the events of applications listed in Table C-1 in the Before and After periods.	Need to assess all CV applications
3.2.5.1	106.1.1	106	The NYC CVPD performance monitoring subsystem shall post -process the mobility data from the I -SIGCVDATA application Before and After periods.	Need to provide mobility information in heavily congested areas
3.2.5.2	106.1.1.1	106	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the average speed from NYC CVPD for comparison to the legacy detection system.	Need to provide mobility information in heavily congested areas
3.2.5.3	106.1.1.2	106	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the average travel time from NYC CVPD for comparison to the legacy detection system.	Need to provide mobility information in heavily congested areas
