,0,1
D,37,14
D.3,33,14
D.3.1,7,5
D.3.1.1,5,3
D.3.1.1.1,2,2
D.3.1.1.2,3,3
D.3.1.2,3,2
D.3.1.2.1,1,1
D.3.1.2.2,2,2
D.3.1.3,2,2
D.3.1.4,2,2
D.3.2,9,12
D.3.2.0,2,2
D.3.2.1,3,4
D.3.2.2,3,4
D.3.2.3,4,5
D.3.2.4,3,4
D.3.2.5,6,7
D.3.3,7,8
D.3.3.1,7,8
D.3.4,1,2
D.3.5,6,14
D.3.5.1,2,3
D.3.5.2,6,11
D.3.5.2.0,6,7
D.3.5.2.1,4,4
D.3.5.3,2,2
D.3.6,2,2
D.3.6.1,2,2
D.3.7,1,1
D.3.8,11,13
D.3.8.1,6,7
D.3.8.2,5,3
D.3.8.2.1,1,1
D.3.8.2.2,1,1
D.3.8.2.3,1,1
D.3.8.2.4,1,1
D.3.8.2.5,1,1
D.3.8.2.6,3,3
D.3.8.3,5,9
D.3.8.3.1,1,2
D.3.8.3.2,2,3
D.3.8.3.3,3,3
D.3.8.3.4,3,4
D.3.8.3.5,2,3
D.3.8.3.6,1,1
D.3.8.3.7,2,3
D.3.8.4,6,6
D.3.8.4.1,6,6
D.4,4,8
D.4.1,1,1
D.4.10,3,3
D.4.11,2,2
D.4.12,1,2
D.4.2,1,1
D.4.2.1,1,1
D.4.3,1,1
D.4.4,3,3
D.4.7,1,1
D.4.8,1,2
D.4.9,1,2
