,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
3.1.1.1.1,2,3,23,12,4,2,20,10,8,4,9,2,6,6,6
3.1.1.1.2,1,3,21,12,3,1,17,9,9,4,10,1,7,7,7
3.1.1.1.3,1,3,25,13,6,2,20,10,8,4,10,2,7,7,7
3.1.1.1.4,2,3,24,12,7,1,19,9,9,4,10,1,7,7,7
3.1.1.2.1,2,3,28,14,7,2,23,11,9,4,10,3,7,7,7
3.1.1.2.2,2,3,24,13,7,2,19,10,9,4,10,2,7,7,7
3.1.1.2.3,2,3,19,10,3,2,16,8,7,4,8,2,5,5,5
3.1.1.2.4,1,2,22,11,5,1,17,8,8,4,10,2,7,7,7
3.1.1.2.5,2,3,24,13,6,2,21,11,9,4,8,2,6,5,5
3.1.1.2.6,2,3,24,13,6,2,21,11,9,4,9,2,7,6,6
3.1.1.2.7,2,3,23,12,4,2,20,11,7,4,8,2,5,5,5
3.1.1.2.8,2,3,28,13,8,2,23,10,9,4,10,3,8,7,7
3.1.1.2.9,1,3,25,11,7,1,20,9,9,4,10,1,8,7,7
3.1.2.1.1,2,3,21,11,6,2,17,10,7,4,8,2,5,5,5
3.1.2.2.1,2,3,23,12,6,2,20,9,8,4,10,2,7,7,7
3.1.2.2.2,2,3,23,12,6,2,20,9,8,4,10,2,7,7,7
3.1.2.2.3,1,3,24,11,7,2,19,10,9,4,10,2,8,7,7
3.1.2.2.4,1,3,23,11,7,2,19,10,8,4,9,2,7,6,6
3.1.3.1,1,3,25,13,5,2,21,11,9,4,10,2,7,7,7
3.1.3.2,1,3,27,13,6,2,23,11,10,4,10,2,8,7,7
3.1.3.3,1,3,27,13,6,2,23,11,10,4,10,2,8,7,7
3.1.4.1,2,3,26,12,7,2,21,10,8,4,10,2,7,7,7
3.1.4.2,2,2,21,10,5,2,17,9,8,4,10,2,7,7,7
3.1.4.3,1,2,20,8,3,2,16,8,6,4,8,2,5,5,5
3.2.0.1,2,3,23,11,7,1,18,9,10,4,10,1,8,7,7
3.2.0.2,1,3,29,14,7,2,24,11,10,4,10,3,8,7,7
3.2.0.3,2,3,24,11,8,0,18,8,10,4,10,0,8,7,7
3.2.1.1,2,3,26,14,7,2,23,11,9,4,9,3,7,6,6
3.2.1.2,2,3,23,11,7,1,18,9,10,4,10,1,8,7,7
