Rule,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
r01_structured_statements,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
r02_active_voice,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
r03_appropriate_subject_verb,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
r04_defined_terms,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
r05_definite_articles,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
r06_common_units_of_measure,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
r07_vague_terms,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
r08_escape_clauses,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
r09_open_ended_clauses,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
r10_superfluous_infinitives,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
r11_separate_clauses,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
r12_correct_grammar,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
r13_correct_spelling,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
r14_correct_punctuation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
r15_logical_expressions,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
r16_use_of_not,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
r17_use_of_oblique_symbol,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
r18_single_thought_sentence,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
r19_combinators,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
r20_purpose_phrases,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
r21_parentheses,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
r22_enumeration,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
r23_supporting_diagram_model_ICD,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
r24_pronouns,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
r25_headings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
r26_absolutes,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
r27_explicit_conditions,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
r28_multiple_conditions,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
r29_classification,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
r30_unique_expression,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
r31_solution_free,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
r32_universal_qualification,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
r33_range_of_values,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0
r34_measurable_performance,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
r35_temporal_dependencies,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
r36_consistent_terms_and_units,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1
r37_acronyms,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1
r38_abbreviations,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
r39_style_guide,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
r40_decimal_format,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
r41_related_needs_and_requirements,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1
r42_structured_sets,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
