	ReqID	NeedID	ReqText	NeedText	r01_structured_statements	r02_active_voice	r03_appropriate_subject_verb	r04_defined_terms	r05_definite_articles	r06_common_units_of_measure	r07_vague_terms	r08_escape_clauses	r09_open_ended_clauses	r10_superfluous_infinitives	r11_separate_clauses	r12_correct_grammar	r13_correct_spelling	r14_correct_punctuation	r15_logical_expressions	r16_use_of_not	r17_use_of_oblique_symbol	r18_single_thought_sentence	r19_combinators	r20_purpose_phrases	r21_parentheses	r22_enumeration	r23_supporting_diagram_model_ICD	r24_pronouns	r25_headings	r26_absolutes	r27_explicit_conditions	r28_multiple_conditions	r29_classification	r30_unique_expression	r31_solution_free	r32_universal_qualification	r33_range_of_values	r34_measurable_performance	r35_temporal_dependencies	r36_consistent_terms_and_units	r37_acronyms	r38_abbreviations	r39_style_guide	r40_decimal_format	r41_related_needs_and_requirements	r42_structured_sets	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C1_norm	C2_norm	C3_norm	C4_norm	C5_norm	C6_norm	C7_norm	C8_norm	C9_norm	C10_norm	C11_norm	C12_norm	C13_norm	C14_norm	C15_norm	wRQ
3.1.1.1.1	203.7.1	203.0	The RSU shall provide evidence of tampering (e.g. opening of the case) through tamper -evident seals on media ports (e.g. USB) and screw holes.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	23	12	4	2	20	10	8	4	9	2	6	6	6	1.0	1.0	0.7666666666666667	0.75	0.5	1.0	0.8	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9868656048662033
3.1.1.1.2	203.7.2	203.0	The ASD shall provide evidence to detect tampering (e.g. opening of the case) through tamper-evident seals on all media ports and screw holes.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	3	21	12	3	1	17	9	9	4	10	1	7	7	7	0.5	1.0	0.7	0.75	0.375	0.5	0.68	0.8181818181818182	0.9	1.0	1.0	0.3333333333333333	0.875	1.0	1.0	0.9570386827479784
3.1.1.1.3	203.22.1	203.0	Connected Vehicle equipment mounted externally to the vehicle shall be contained within the envelope defined by the ASD vendor specification.	Need to manage CV equipment maintenance	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	25	13	6	2	20	10	8	4	10	2	7	7	7	0.5	1.0	0.8333333333333334	0.8125	0.75	1.0	0.8	0.9090909090909091	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.986439505705112
3.1.1.1.4	203.7.3	203.0	The RSU size dimensions shall not exceed 13” h x 13” w x 4” d exclusive of mounting hardware.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	2	3	24	12	7	1	19	9	9	4	10	1	7	7	7	1.0	1.0	0.8	0.75	0.875	0.5	0.76	0.8181818181818182	0.9	1.0	1.0	0.3333333333333333	0.875	1.0	1.0	0.9750963753788785
3.1.1.2.1	203.4.1	203.0	The ASD shall operate on the voltage supplied by the host vehicle.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	28	14	7	2	23	11	9	4	10	3	7	7	7	1.0	1.0	0.9333333333333333	0.875	0.875	1.0	0.92	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9984814264293601
3.1.1.2.2	203.16.1	203.0	The current drawn by the ASD shall not exceed with the maximum allowable amperage specified by the ASD vendor.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	13	7	2	19	10	9	4	10	2	7	7	7	1.0	1.0	0.8	0.8125	0.875	1.0	0.76	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9934778886853548
3.1.1.2.3	203.16.2	203.0	The RSU shall not overload the power supplies provided by the RSU vendor based on maximum allowable power consumption. (During operation, turn off, turn on, etc. per NEMA TS2 environmental testing.)	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	2	3	19	10	3	2	16	8	7	4	8	2	5	5	5	1.0	1.0	0.6333333333333333	0.625	0.375	1.0	0.64	0.7272727272727273	0.7	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.9735363318443936
3.1.1.2.4	203.17.2	203.0	All connections to the RSU shall be protected from lightening and power surges on the Ethernet.	Need to manage CV equipment maintenance	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	22	11	5	1	17	8	8	4	10	2	7	7	7	0.5	0.6666666666666666	0.7333333333333333	0.6875	0.625	0.5	0.68	0.7272727272727273	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9763579633566059
3.1.1.2.5	203.18.1	203.0	The ASDs shall withstand electromagnetic interference (EMI) from external sources and electrical distribution.	Need to manage CV equipment maintenance	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	24	13	6	2	21	11	9	4	8	2	6	5	5	1.0	1.0	0.8	0.8125	0.75	1.0	0.84	1.0	0.9	1.0	0.8	0.6666666666666666	0.75	0.7142857142857143	0.7142857142857143	0.9903590456292236
3.1.1.2.6	203.18.2	203.0	The ASD shall withstand electrostatic discharge (ESD) from extern al sources and electrical distribution.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	24	13	6	2	21	11	9	4	9	2	7	6	6	1.0	1.0	0.8	0.8125	0.75	1.0	0.84	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9937191926243625
